,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Hamilton,US,39.18,-84.53,73.0,94,20,4.7,few clouds,0.0,0.0
1,Bredasdorp,ZA,-34.53,20.04,57.2,76,52,13.87,broken clouds,0.0,0.0
2,Ushuaia,AR,-54.8,-68.3,35.6,80,22,16.11,few clouds,0.0,0.0
3,Ponta Do Sol,PT,32.67,-17.1,69.8,77,20,3.22,few clouds,0.0,0.0
4,Leningradskiy,RU,69.38,178.42,46.44,74,100,4.92,overcast clouds,0.0,0.0
5,Flin Flon,CA,54.77,-101.86,64.09,54,29,7.34,scattered clouds,0.0,0.0
6,Dalvik,IS,65.97,-18.53,39.2,93,2,0.51,clear sky,0.0,0.0
7,Bealanana,MG,-14.55,48.73,61.56,91,93,9.01,overcast clouds,0.0,0.0
8,North Bend,US,43.41,-124.22,61.0,72,90,4.7,overcast clouds,0.0,0.0
9,Dunedin,NZ,-45.87,170.5,46.99,78,100,10.0,overcast clouds,0.0,0.0
10,Arraial Do Cabo,BR,-22.97,-42.03,71.76,89,0,11.83,clear sky,0.0,0.0
11,Linqiong,CN,30.42,103.46,86.0,61,95,4.47,overcast clouds,0.0,0.0
12,Luderitz,NA,-26.65,15.16,53.6,81,93,10.29,overcast clouds,0.0,0.0
13,Nurota,UZ,40.56,65.69,69.8,46,0,9.17,clear sky,0.0,0.0
14,Rikitea,PF,-23.12,-134.97,73.44,83,98,12.66,overcast clouds,0.0,0.0
15,Cape Town,ZA,-33.93,18.42,57.2,54,75,4.7,broken clouds,0.0,0.0
16,Jasper,US,37.2,-94.35,82.4,65,1,4.7,clear sky,0.0,0.0
17,Bluff,NZ,-46.6,168.33,46.18,84,89,20.94,light rain,0.012598425196850395,0.0
18,Punta Arenas,CL,-53.15,-70.92,26.6,100,13,2.24,few clouds,0.0,0.0
19,Nova Vicosa,BR,-17.89,-39.37,71.56,88,0,3.44,clear sky,0.0,0.0
20,Along,IN,28.17,94.77,81.46,80,91,1.43,light rain,0.019291338582677165,0.0
21,Laval,CA,45.57,-73.69,78.01,38,40,6.93,scattered clouds,0.0,0.0
22,Hermanus,ZA,-34.42,19.23,55.0,76,81,5.99,broken clouds,0.0,0.0
23,Ambon,ID,-3.7,128.18,82.4,78,40,5.82,scattered clouds,0.0,0.0
24,Tiksi,RU,71.69,128.87,37.72,88,92,5.77,overcast clouds,0.0,0.0
25,Albany,US,42.6,-73.97,71.01,52,0,5.28,clear sky,0.0,0.0
26,Khatanga,RU,71.97,102.5,50.81,65,93,15.37,overcast clouds,0.0,0.0
27,Kudahuvadhoo,MV,2.67,72.89,84.07,72,100,10.76,overcast clouds,0.0,0.0
28,Umm Kaddadah,SD,13.6,26.69,82.71,53,87,12.21,overcast clouds,0.0,0.0
29,Puerto Ayora,EC,-0.74,-90.35,69.01,92,100,7.25,overcast clouds,0.0,0.0
30,George Town,MY,5.41,100.34,84.2,88,20,2.24,few clouds,0.0,0.0
31,Mahebourg,MU,-20.41,57.7,73.4,94,40,5.82,shower rain,0.0,0.0
32,Busselton,AU,-33.65,115.33,55.0,89,100,1.01,light rain,0.004330708661417323,0.0
33,Torbay,CA,47.67,-52.73,50.0,87,75,3.36,broken clouds,0.0,0.0
34,Moron,AR,-34.65,-58.62,46.0,94,55,5.03,broken clouds,0.0,0.0
35,Tosya,TR,41.02,34.04,65.75,63,0,1.95,clear sky,0.0,0.0
36,Vaini,TO,-21.2,-175.2,78.8,83,40,9.17,scattered clouds,0.0,0.0
37,Mapiripan,CO,2.89,-72.13,70.79,96,99,1.57,overcast clouds,0.0,0.0
38,Upernavik,GL,72.79,-56.15,42.13,70,93,9.78,overcast clouds,0.0,0.0
39,Kaitangata,NZ,-46.28,169.85,46.99,72,97,8.01,overcast clouds,0.0,0.0
40,Thompson,CA,55.74,-97.86,66.2,63,20,5.82,few clouds,0.0,0.0
41,East London,ZA,-33.02,27.91,64.36,74,44,20.07,scattered clouds,0.0,0.0
42,Jamestown,US,42.1,-79.24,75.2,69,1,3.36,clear sky,0.0,0.0
43,Marshfield,US,44.67,-90.17,71.6,88,1,5.82,clear sky,0.0,0.0
44,Tuktoyaktuk,CA,69.45,-133.04,42.8,87,75,9.17,broken clouds,0.0,0.0
45,Sorata,BO,-15.77,-68.63,43.23,76,97,1.92,overcast clouds,0.0,0.0
46,Eyrarbakki,IS,63.86,-21.15,48.2,81,62,3.36,broken clouds,0.0,0.0
47,Georgetown,MY,5.41,100.34,84.2,88,20,2.24,few clouds,0.0,0.0
48,Rancho Palos Verdes,US,33.74,-118.39,75.0,63,0,1.99,clear sky,0.0,0.0
49,Rabo De Peixe,PT,37.8,-25.58,66.2,93,40,10.29,scattered clouds,0.0,0.0
