City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chilca,PE,2020-07-07 01:37:33,-12.52,-76.74,60.8,82,90,9.17
1,Port Alfred,ZA,2020-07-07 01:35:24,-33.59,26.89,64.0,82,34,8.01
2,Busselton,AU,2020-07-07 01:37:34,-33.65,115.33,57.99,61,100,11.86
3,Erzin,TR,2020-07-07 01:37:34,36.96,36.2,78.01,89,81,1.61
4,Cidahu,ID,2020-07-07 01:37:35,-6.31,106.06,82.0,78,20,2.24
5,Khatanga,RU,2020-07-07 01:37:35,71.97,102.5,48.56,69,97,15.32
6,Chuy,UY,2020-07-07 01:37:35,-33.7,-53.46,45.43,85,91,4.85
7,Hermanus,ZA,2020-07-07 01:37:12,-34.42,19.23,57.99,74,75,5.99
8,Mezen,RU,2020-07-07 01:37:35,65.85,44.24,60.15,66,92,10.92
9,Qaanaaq,GL,2020-07-07 01:37:36,77.48,-69.36,45.09,58,0,1.03
10,Georgetown,MY,2020-07-07 01:35:10,5.41,100.34,82.4,88,20,4.56
11,Mattru,SL,2020-07-07 01:37:36,7.62,-11.83,73.9,95,99,0.63
12,Vaini,TO,2020-07-07 01:37:36,-21.2,-175.2,78.8,83,75,12.75
13,Gizycko,PL,2020-07-07 01:37:36,54.04,21.76,51.22,87,100,7.4
14,Jamestown,US,2020-07-07 01:37:37,42.1,-79.24,78.8,61,1,4.7
15,Kikwit,CD,2020-07-07 01:37:37,-5.04,18.82,70.29,44,0,0.81
16,Kieta,PG,2020-07-07 01:37:37,-6.22,155.63,84.42,69,84,5.59
17,Bojnurd,IR,2020-07-07 01:37:37,37.47,57.33,55.4,43,0,2.24
18,Svetlyy,RU,2020-07-07 01:37:37,54.67,20.13,57.2,82,100,11.18
19,Ushuaia,AR,2020-07-07 01:34:10,-54.8,-68.3,35.6,69,21,16.11
20,Mount Isa,AU,2020-07-07 01:37:38,-20.73,139.5,69.8,19,0,11.41
21,Vestmanna,FO,2020-07-07 01:37:38,62.16,-7.17,44.6,75,100,18.34
22,Mount Gambier,AU,2020-07-07 01:35:47,-37.83,140.77,50.0,87,90,4.7
23,Severo-Kurilsk,RU,2020-07-07 01:35:57,50.68,156.12,57.07,76,21,7.02
24,Yelan-Kolenovskiy,RU,2020-07-07 01:37:38,51.16,41.15,69.17,65,20,6.6
25,Cape Town,ZA,2020-07-07 01:37:39,-33.93,18.42,59.0,67,75,5.82
26,Tazovskiy,RU,2020-07-07 01:37:39,67.47,78.7,55.06,80,2,12.08
27,Mahebourg,MU,2020-07-07 01:37:39,-20.41,57.7,73.4,94,75,8.05
28,Kapaa,US,2020-07-07 01:37:39,22.08,-159.32,84.2,66,1,11.41
29,Waingapu,ID,2020-07-07 01:37:40,-9.66,120.26,81.32,69,15,18.86
30,Santa Catalina,PH,2020-07-07 01:37:40,9.33,122.86,86.0,70,20,4.7
31,Thompson,CA,2020-07-07 01:34:17,55.74,-97.86,68.0,56,40,13.87
32,Aklavik,CA,2020-07-07 01:36:20,68.22,-135.01,48.2,81,90,4.7
33,Poum,NC,2020-07-07 01:37:40,-20.23,164.02,70.45,65,100,6.55
34,Westport,US,2020-07-07 01:37:41,41.14,-73.36,71.6,83,1,10.29
35,Laguna,US,2020-07-07 01:37:41,38.42,-121.42,86.0,25,1,17.22
36,Amalapuram,IN,2020-07-07 01:37:41,16.58,82.02,82.11,81,100,6.24
37,Upernavik,GL,2020-07-07 01:37:41,72.79,-56.15,42.58,69,97,10.02
38,Zavetnoye,RU,2020-07-07 01:37:41,47.12,43.89,77.31,34,0,9.93
39,Dikson,RU,2020-07-07 01:37:41,73.51,80.55,50.31,65,0,15.61
